trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
701.0,2002,2002-03-04,HOU,WAS,,,,,WuerDa00,Danny Wuerffel
701.0,2002,2002-03-04,WAS,HOU,,,,,DeLoJe20,Jerry DeLoach
702.0,2002,2002-03-08,MIA,NO,2002.0,1.0,25.0,0.0,GranCh21,Charles Grant
702.0,2002,2002-03-08,MIA,NO,2002.0,4.0,125.0,0.0,CravKe20,Keyuo Craver
702.0,2002,2002-03-08,MIA,NO,2003.0,1.0,18.0,0.0,PaceCa20,Calvin Pace
702.0,2002,2002-03-08,NO,MIA,,,,,WillRi00,Ricky Williams
702.0,2002,2002-03-08,NO,MIA,2002.0,4.0,114.0,0.0,McMiRa01,Ry McMichael
703.0,2002,2002-03-11,CLE,MIA,2004.0,,,1.0,,
703.0,2002,2002-03-11,MIA,CLE,,,,,JohnJ.00,J.J. Johnson
704.0,2002,2002-03-11,GB,NE,2002.0,4.0,126.0,0.0,GreeJa21,Jarvis Green
704.0,2002,2002-03-11,NE,GB,,,,,GlenTe00,Terry Glenn
705.0,2002,2002-03-27,KC,NO,2003.0,3.0,78.0,0.0,SmitWa21,Wade Smith
705.0,2002,2002-03-27,NO,KC,,,,,RoafWi00,Willie Roaf
706.0,2002,2002-03-28,HOU,STL,2003.0,,,1.0,,
706.0,2002,2002-03-28,STL,HOU,,,,,ShepJa20,Jacoby Shepherd
707.0,2002,2002-04-09,NYJ,WAS,,,,,LoveDa20,David Loverne
707.0,2002,2002-04-09,NYJ,WAS,2002.0,5.0,160.0,0.0,RoyaRo00,Robert Royal
707.0,2002,2002-04-09,WAS,NYJ,2002.0,5.0,154.0,0.0,GoodJo23,Jonathan Goodwin
708.0,2002,2002-04-15,IND,STL,,,,,WilkTe00,Terrence Wilkins
708.0,2002,2002-04-15,STL,IND,2002.0,6.0,183.0,0.0,,
708.0,2002,2002-04-15,STL,IND,,,,,,James Lewis
709.0,2002,2002-04-18,BUF,HOU,,,,,ForeJa20,Jay Foreman
709.0,2002,2002-04-18,HOU,BUF,,,,,RogeCh00,Charlie Rogers
710.0,2002,2002-04-19,IND,SEA,2002.0,5.0,146.0,0.0,BernRo20,Rocky Bernard
710.0,2002,2002-04-19,SEA,IND,,,,,HuarBr00,Brock Huard
711.0,2002,2002-04-20,DAL,KC,2002.0,1.0,6.0,0.0,SimsRy20,Ryan Sims
711.0,2002,2002-04-20,KC,DAL,2002.0,1.0,8.0,0.0,WillRo03,Roy Williams
711.0,2002,2002-04-20,KC,DAL,2002.0,3.0,75.0,0.0,RossDe20,Derek Ross
711.0,2002,2002-04-20,KC,DAL,2003.0,6.0,186.0,0.0,SmitZu00,Zuriel Smith
712.0,2002,2002-04-20,NYG,TEN,2002.0,1.0,15.0,0.0,HaynAl20,Albert Haynesworth
712.0,2002,2002-04-20,NYG,TEN,2002.0,4.0,110.0,0.0,EchoMi20,Mike Echols
712.0,2002,2002-04-20,TEN,NYG,2002.0,1.0,14.0,0.0,ShocJe00,Jeremy Shockey
713.0,2002,2002-04-20,OAK,WAS,2002.0,1.0,21.0,0.0,GrahDa00,Daniel Graham
713.0,2002,2002-04-20,OAK,WAS,2002.0,3.0,89.0,0.0,AyodAk20,Akin Ayodele
713.0,2002,2002-04-20,WAS,OAK,2002.0,1.0,18.0,0.0,DuckT.00,T.J. Duckett
714.0,2002,2002-04-20,ATL,OAK,2002.0,1.0,17.0,0.0,BuchPh20,Phillip Buchanon
714.0,2002,2002-04-20,OAK,ATL,2002.0,1.0,18.0,0.0,DuckT.00,T.J. Duckett
714.0,2002,2002-04-20,OAK,ATL,2002.0,5.0,158.0,0.0,KittKu00,Kurt Kittner
715.0,2002,2002-04-20,GB,SEA,2002.0,1.0,28.0,0.0,StevJe00,Jerramy Stevens
715.0,2002,2002-04-20,GB,SEA,2002.0,2.0,60.0,0.0,PaleAn20,Anton Palepoi
715.0,2002,2002-04-20,SEA,GB,2002.0,1.0,20.0,0.0,WalkJa00,Javon Walker
715.0,2002,2002-04-20,SEA,GB,2002.0,5.0,156.0,0.0,KampAa99,Aaron Kampman
716.0,2002,2002-04-20,NE,WAS,2002.0,1.0,32.0,0.0,RamsPa00,Patrick Ramsey
716.0,2002,2002-04-20,NE,WAS,2002.0,3.0,96.0,0.0,DaviDo23,Dorsett Davis
716.0,2002,2002-04-20,NE,WAS,2002.0,7.0,234.0,0.0,ScotGr20,Greg Scott
716.0,2002,2002-04-20,WAS,NE,2002.0,1.0,21.0,0.0,GrahDa00,Daniel Graham
717.0,2002,2002-04-20,BAL,WAS,2002.0,2.0,56.0,0.0,BettLa00,Ladell Betts
717.0,2002,2002-04-20,BAL,WAS,2002.0,3.0,87.0,0.0,RussCl00,Cliff Russell
717.0,2002,2002-04-20,BAL,WAS,2002.0,5.0,159.0,0.0,LottAn20,Andre Lott
717.0,2002,2002-04-20,WAS,BAL,2002.0,2.0,52.0,0.0,WeavAn20,Anthony Weaver
717.0,2002,2002-04-20,WAS,BAL,2002.0,3.0,96.0,0.0,DaviDo23,Dorsett Davis
718.0,2002,2002-04-20,BUF,SF,2002.0,3.0,69.0,0.0,RashSa20,Saleem Rasheed
718.0,2002,2002-04-20,BUF,SF,2002.0,4.0,102.0,0.0,chandjef01,Jeff Chandler
718.0,2002,2002-04-20,SF,BUF,2002.0,2.0,61.0,0.0,DennRy20,Ryan Denney
719.0,2002,2002-04-20,CHI,DAL,2002.0,2.0,63.0,0.0,BryaAn00,Antonio Bryant
719.0,2002,2002-04-20,CHI,DAL,2002.0,4.0,129.0,0.0,MartJa01,Jamar Martin
719.0,2002,2002-04-20,DAL,CHI,2002.0,3.0,72.0,0.0,WillRo26,Roosevelt Williams
719.0,2002,2002-04-20,DAL,CHI,2002.0,4.0,104.0,0.0,BrowAl20,Alex Brown
719.0,2002,2002-04-20,DAL,CHI,2002.0,5.0,140.0,0.0,GrayBo20,Bobby Gray
720.0,2002,2002-04-20,CAR,CIN,2002.0,3.0,67.0,0.0,SchoMa00,Matt Schobel
720.0,2002,2002-04-20,CIN,CAR,2002.0,3.0,73.0,0.0,WithWi20,Will Witherspoon
720.0,2002,2002-04-20,CIN,CAR,2002.0,5.0,145.0,0.0,JohnKy00,Kyle Johnson
721.0,2002,2002-04-20,CLE,JAX,,,,,RainWa20,Wali Rainer
721.0,2002,2002-04-20,CLE,JAX,2002.0,3.0,79.0,0.0,BaumRa20,Rashad Bauman
721.0,2002,2002-04-20,JAX,CLE,2002.0,3.0,76.0,0.0,FowlMe20,Melvin Fowler
722.0,2002,2002-04-20,JAX,WAS,2002.0,3.0,79.0,0.0,BaumRa20,Rashad Bauman
